
変数情報			
変数	位置	ラベル	欠損値
FQ08B_G	3007	w7問8B-7_仕事を紹介してもらうことを相談する人―学生時代の友人・知人	
FQ08B_H	3008	w7問8B-8_仕事を紹介してもらうことを相談する人―その他の友人・知人	
FQ08B_I	3009	w7問8B-9_仕事を紹介してもらうことを相談する人―誰もいない	
FQ08C_A	3010	w7問8C-1_友人・恋人・配偶者などとの人間関係のことを相談する人―親	
FQ08C_B	3011	w7問8C-2_友人・恋人・配偶者などとの人間関係のことを相談する人―配偶者または恋人	
FQ08C_C	3012	w7問8C-3_友人・恋人・配偶者などとの人間関係のことを相談する人―子ども	
FQ08C_D	3013	w7問8C-4_友人・恋人・配偶者などとの人間関係のことを相談する人―兄弟姉妹	
FQ08C_E	3014	w7問8C-5_友人・恋人・配偶者などとの人間関係のことを相談する人―その他の親戚	
FQ08C_F	3015	w7問8C-6_友人・恋人・配偶者などとの人間関係のことを相談する人―仕事関係の友人・知人	
FQ08C_G	3016	w7問8C-7_友人・恋人・配偶者などとの人間関係のことを相談する人―学生時代の友人・知人	
FQ08C_H	3017	w7問8C-8_友人・恋人・配偶者などとの人間関係のことを相談する人―その他の友人・知人	
FQ08C_I	3018	w7問8C-9_友人・恋人・配偶者などとの人間関係のことを相談する人―誰もいない	
FQ08D_A	3019	w7問8D-1_失業や病気のときにまとまったお金を貸してもらう相談をする人―親	
FQ08D_B	3020	w7問8D-2_失業や病気のときにまとまったお金を貸してもらう相談をする人―配偶者または恋人	
FQ08D_C	3021	w7問8D-3_失業や病気のときにまとまったお金を貸してもらう相談をする人―子ども	
FQ08D_D	3022	w7問8D-4_失業や病気のときにまとまったお金を貸してもらう相談をする人―兄弟姉妹	
FQ08D_E	3023	w7問8D-5_失業や病気のときにまとまったお金を貸してもらう相談をする人―その他の親戚	
FQ08D_F	3024	w7問8D-6_失業や病気のときにまとまったお金を貸してもらう相談をする人―仕事関係の友人・知人	
FQ08D_G	3025	w7問8D-7_失業や病気のときにまとまったお金を貸してもらう相談をする人―学生時代の友人・知人	
FQ08D_H	3026	w7問8D-8_失業や病気のときにまとまったお金を貸してもらう相談をする人―その他の友人・知人	
FQ08D_I	3027	w7問8D-9_失業や病気のときにまとまったお金を貸してもらう相談をする人―誰もいない	
FQ09	3028	w7問9_子どもの有無	
FQ09S	3029	w7問9付問_子どもの人数	
FQ09_1A	3030	w7問9付問_1人目・生まれ―元号	
FQ09_1B	3031	w7問9付問_1人目・生まれ―年	
FQ09_1C	3032	w7問9付問_1人目･性別	
FQ09_1D	3033	w7問9付問_1人目・住まい	
FQ09_1E	3034	w7問9付問_1人目・在学中	
FQ09_1F	3035	w7問9付問_1人目・仕事の有無	
FQ09_2A	3036	w7問9付問_2人目・生まれ―元号	
FQ09_2B	3037	w7問9付問_2人目・生まれ―年	
FQ09_2C	3038	w7問9付問_2人目･性別	
FQ09_2D	3039	w7問9付問_2人目・住まい	
FQ09_2E	3040	w7問9付問_2人目・在学中	
FQ09_2F	3041	w7問9付問_2人目・仕事の有無	
FQ09_3A	3042	w7問9付問_3人目・生まれ―元号	
FQ09_3B	3043	w7問9付問_3人目・生まれ―年	
FQ09_3C	3044	w7問9付問_3人目･性別	
FQ09_3D	3045	w7問9付問_3人目・住まい	
FQ09_3E	3046	w7問9付問_3人目・在学中	
FQ09_3F	3047	w7問9付問_3人目・仕事の有無	
FQ09_4A	3048	w7問9付問_4人目・生まれ―元号	
FQ09_4B	3049	w7問9付問_4人目・生まれ―年	
FQ09_4C	3050	w7問9付問_4人目･性別	
FQ09_4D	3051	w7問9付問_4人目・住まい	
FQ09_4E	3052	w7問9付問_4人目・在学中	
FQ09_4F	3053	w7問9付問_4人目・仕事の有無	
FQ09_5A	3054	w7問9付問_5人目・生まれ―元号	
FQ09_5B	3055	w7問9付問_5人目・生まれ―年	
FQ09_5C	3056	w7問9付問_5人目･性別	
FQ09_5D	3057	w7問9付問_5人目・住まい	
FQ09_5E	3058	w7問9付問_5人目・在学中	
FQ09_5F	3059	w7問9付問_5人目・仕事の有無	
FQ09_6A	3060	w7問9付問_6人目・生まれ―元号	
FQ09_6B	3061	w7問9付問_6人目・生まれ―年	
FQ09_6C	3062	w7問9付問_6人目･性別	
FQ09_6D	3063	w7問9付問_6人目・住まい	
FQ09_6E	3064	w7問9付問_6人目・在学中	
FQ09_6F	3065	w7問9付問_6人目・仕事の有無	
FQ09_7A	3066	w7問9付問_7人目・生まれ―元号	
FQ09_7B	3067	w7問9付問_7人目・生まれ―年	
FQ09_7C	3068	w7問9付問_7人目･性別	
FQ09_7D	3069	w7問9付問_7人目・住まい	
FQ09_7E	3070	w7問9付問_7人目・在学中	
FQ09_7F	3071	w7問9付問_7人目・仕事の有無	
FQ09_8A	3072	w7問9付問_8人目・生まれ―元号	
FQ09_8B	3073	w7問9付問_8人目・生まれ―年	
FQ09_8C	3074	w7問9付問_8人目･性別	
FQ09_8D	3075	w7問9付問_8人目・住まい	
FQ09_8E	3076	w7問9付問_8人目・在学中	
FQ09_8F	3077	w7問9付問_8人目・仕事の有無	
FQ10_1	3078	w7問10(1)_同居している人数（本人含む）	
FQ10_2A	3079	w7問10(2)-0_一人暮らし	
FQ10_2B	3080	w7問10(2)-1_配偶者（あなたの夫または妻）	
FQ10_2C	3081	w7問10(2)-2_恋人	
FQ10_2D	3082	w7問10(2)-3_息子	
FQ10_2E	3083	w7問10(2)-4_娘	
FQ10_2F	3084	w7問10(2)-5_子どもの配偶者	
FQ10_2G	3085	w7問10(2)-6_孫	
FQ10_2H	3086	w7問10(2)-7_あなたの父親	
FQ10_2I	3087	w7問10(2)-8_あなたの母親	
FQ10_2J	3088	w7問10(2)-9_配偶者の父親	
FQ10_2K	3089	w7問10(2)-10_配偶者の母親	
FQ10_2L	3090	w7問10(2)-11_あなたの祖父	
FQ10_2M	3091	w7問10(2)-12_あなたの祖母	
FQ10_2N	3092	w7問10(2)-13_配偶者の祖父母	
FQ10_2O	3093	w7問10(2)-14_あなたの兄弟姉妹	
FQ10_2P	3094	w7問10(2)-15_配偶者の兄弟姉妹	
FQ10_2Q	3095	w7問10(2)-16_その他	
fq10_2s	3096	w7問10(2)-17_その他親戚	
fq10_2t	3097	w7問10(2)-18_親戚以外	
FQ11	3098	w7問11_もう1人子どもが欲しいか	
FQ12_1	3099	w7問12-1_この1年間の経験―自分が離婚した	
FQ12_2	3100	w7問12-2_この1年間の経験―父が亡くなった	
FQ12_3	3101	w7問12-3_この1年間の経験―母が亡くなった	
FQ12_4	3102	この1年間の経験―自分が引っ越しをした	
FQ12_5	3103	w7問12-5_この1年間の経験―自分が産休･育休を取った	
FQ12_6	3104	w7問12-6_この1年間の経験―配偶者(あなたの夫または妻)が産休･育休を取った	
FQ12_7	3105	この1年間の経験―配偶者(あなたの夫または妻)が亡くなった	
FQ12_8	3106	w7問12-8_この1年間の経験―どれもなかった	
FQ13F_A	3107	w7問13父A_父親の状態	
FQ13F_A_1	3108	w7問13父A_父親の年齢	
FQ13F_A_2	3109	w7問13父A_父親の享年	
FQ13F_B	3110	w7問13父B_父親の就業状況	
FQ13F_C	3111	w7問13父C_父親の暮らし向き	
FQ13F_D	3112	w7問13父D_父親の兄弟姉妹の有無	
FQ13F_DN	3113	w7問13父D_父親の兄弟姉妹の人数	
FQ13M_A	3114	w7問13母_A母親の状態	
FQ13M_A_1	3115	w7問13母_A母親の年齢	
FQ13M_A_2	3116	w7問13母_A母親の享年	
FQ13M_B	3117	w7問13母_B母親の就業状況	
FQ13M_C	3118	w7問13母_C親の暮らし向き	
FQ13M_D	3119	w7問13母_D母親の兄弟姉妹の有無	
FQ13M_DN	3120	w7問13母_D母親の兄弟姉妹の人数	
FQ14	3121	w7問14_専門学校以上への通学（この1年間）	
FQ14A	3122	w7問14付問_この1年間に通った学校＿設置者	
FQ14C	3123	w7問14付問_この1年間に通った学校＿学部学科	
FQ14D	3124	w7問14付問_この1年間に通った学校＿課程	
FQ14E	3125	w7問14付問_この1年間に通った学校＿入学年	
FQ14F	3126	w7問14付問_この1年間に通った学校＿卒業年	
FQ14G	3127	w7問14付問_この1年間に通った学校＿卒業中退	
FQ15	3128	w7問15_自分の健康状態	
FQ16	3129	w7問16_過去1年間、病気や怪我により活動ができなかった日の有無	
FQ16S	3130	w7問16_過去1年間、病気や怪我により活動ができなかった日数	
FQ17A	3131	w7問17_過去1年間の歯科通院日数	
FQ17B	3132	w7問17_過去1年間の通院（歯科除く）日数	
FQ17C	3133	w7問17_過去1年間の入院日数	
FQ18A	3134	w7問18A_過去1ヶ月間―かなり神経質であったこと	
FQ18B	3135	w7問18B_過去1ヶ月間―どうにもならないくらい気分が落ち込んでいたこと	
FQ18C	3136	w7問18C_過去1ヶ月間―落ち着いていておだやかな気分であったこと	
FQ18D	3137	w7問18D_過去1ヶ月間―落ち込んで、憂鬱な気分であったこと	
FQ18E	3138	w7問18E_過去1ヶ月間―楽しい気分であったこと	
FQ18F	3139	w7問18F_過去1ヶ月間―健康上の理由で、家事や仕事などが制限されたこと	
FQ19	3140	w7問19_1日に吸うタバコの本数	
FQ20	3141	w7問20_飲酒の頻度	
FQ21A	3142	w7問21A_現在の満足度―仕事	
FQ21B	3143	w7問21B_現在の満足度―結婚生活	
FQ21C	3144	w7問21C_現在の満足度―友人関係	
FQ21D	3145	w7問21D_現在の満足度―あなたの親との関係	
FQ21E	3146	w7問21E_現在の満足度―あなたの子との関係	
FQ21F	3147	w7問21F_現在の満足度―生活全般	
FQ22A	3148	w7問22A_自分のやりたい仕事ははっきりしている	
FQ22B	3149	w7問22B_自分の職業能力を向上させたいと思う	
FQ22C	3150	w7問22C_将来よりも今の生活を楽しみたいと思う	
FQ22D	3151	w7問22D_社会でうまくやっていけるか不安だ	
FQ22E	3152	w7問22E_友だちから悩み事を打ち明けられることが多い	
FQ22F	3153	w7問22F_やりたくない仕事にはつきたくない	
FQ23	3154	w7問23_現在の暮らしむき	
FQ24	3155	w7問24_将来の自分の仕事や生活に希望があるか	
FQ25A	3156	w7問25A_自分にとっての重要度―仕事で成功すること	
FQ25B	3157	w7問25B_自分にとっての重要度―結婚して幸せな家庭生活を送ること	
FQ25C	3158	w7問25C_自分にとっての重要度―お金持ちになること	
FQ25D	3159	w7問25D_自分にとっての重要度―親友を持つこと	
FQ25E	3160	w7問25E_自分にとっての重要度―子どもには自分よりも恵まれた機会を与えること	
FQ25F	3161	w7問25F_自分にとっての重要度―安定した仕事につくこと	
FQ26A	3162	w7問26A_自分の考えを人に説明することができるか	
FQ26B	3163	w7問26B_よく知らない人と自然に会話することができるか	
FQ26C	3164	w7問26C_まわりの人をまとめてひっぱっていくことができるか	
FQ26D	3165	w7問26D_面白いことを言って人を楽しませることができるか	
FQ27A	3166	w7問27A_日本の社会には希望がある	
FQ27B	3167	w7問27B_日本の所得の格差は大きすぎる	
FQ27C	3168	w7問27C_どんな学校を出たかによって、人生がほとんど決まってしまう	
FQ27D	3169	w7問27D_仕事や事業でいったん失敗すると、人生のやり直しがしにくい	
FQ27E	3170	w7問27E_所得格差が大きいことは、日本の繁栄に必要である	
FQ27F	3171	w7問27F_地位や富を得るためには、裕福な家庭の出身であることが重要だ	
FQ28	3172	w7問28_自分自身の階層の位置づけ	
FQ29	3173	w7問29_10年後の自分の暮らしむき	
FQ30A	3174	w7問30A_男性の仕事は収入を得ること、女性の仕事や家庭と家族の面倒をみることだ	
FQ30B	3175	w7問30B_母親が外で働くと、小学校に通う前の子どもはつらい思いをしやすい	
FQ30C	3176	w7問30C_女性が自立するためには、仕事を持つのが一番よい	
FQ30D	3177	w7問30D_一般的に言って、結婚している人のほうが、結婚していない人より幸せだ	
FQ30E	3178	w7問30E_子どもがいると、夫婦の自由な生活の妨げになる	
FQ30F	3179	w7問30F_不幸せな結婚生活を続けるくらいなら、離婚した方がよい	
FQ31A	3180	w7問31A_日本の防衛力はもっと強化するべきだ	
FQ31B	3181	w7問31B_日米安保体制は現在よりもっと強化するべきだ	
FQ31C	3182	w7問31C_収入の多い人と少ない人の所得格差を縮めるのは政府の責任だ	
FQ31D	3183	w7問31D_公共事業による地方の雇用確保は必要だ	
FQ31E	3184	w7問31E_社会保障は財政が苦しくても極力充実するべきだ	
FQ31F	3185	w7問31F_お年寄りや心身の不自由な人は別として、すべての人は社会福祉をあてにしないで生活しなければならない	
FQ32	3186	w7問32_ふだん支持している政党	
FQ33	3187	w7問33_政治上の出来事への関心	
FQ34	3188	w7問34_衆議院比例代表投票先政党(２０１２年１２月）	
FQ35	3189	w7問35_参議院比例代表投票先政党(２０１３年予定）	
FQ36A	3190	w7問36A_自民党への感情	
FQ36B	3191	w7問36B_民主党への感情	
FQ36C	3192	w7問36C_公明党への感情	
FQ36D	3193	w7問36D_共産党への感情	
FQ36E	3194	w7問36E_社民党への感情	
FQ36F	3195	w7問36F_日本維新の会への感情	
FQ36G	3196	w7問36G_みんなの党への感情	
FQ36H	3197	w7問36H_安倍晋三への感情	
FQ36I	3198	w7問36Ｉ_海江田万里への感情	
FQ36J	3199	w7問36Ｊ_橋下徹への感情	
FQ36K	3200	w7問36Ｋ_小沢一郎への感情	
FQ36L	3201	w7問36Ｌ_日本への感情	
FQ36M	3202	w7問36Ｍ_アメリカ合衆国への感情	
FQ36N	3203	w7問36Ｎ_中国への感情	
FQ37_1	3204	w7問37(1)_衆議院比例代表投票先政党(仮定投票）	
FQ37_2	3205	w7問37(2)_上記の選挙で投票に行くか	
FQ38A	3206	w7問38_過去1年間の収入―本人	
FQ38B	3207	w7問38_過去1年間の収入―配偶者	
FQ38C	3208	w7問38_過去1年間の収入―世帯全体	
FQ39_A	3209	w7問39-1_世帯の収入源―賃金・給料	
FQ39_B	3210	w7問39-2_世帯の収入源―農林漁業からの事業収入	
FQ39_C	3211	w7問39-3_世帯の収入源―農林漁業以外の事業収入	
FQ39_D	3212	w7問39-4_世帯の収入源―内職収入	
FQ39_E	3213	w7問39-5_世帯の収入源―家賃・地代	
FQ39_F	3214	w7問39-6_世帯の収入源―利子・配当	
FQ39_G	3215	w7問39-7_世帯の収入源―仕送り	
FQ39_H	3216	w7問39-8_世帯の収入源―年金（除く障害年金）・恩給	
FQ39_I	3217	w7問39-9_世帯の収入源―障害年金	
FQ39_J	3218	w7問39-10_世帯の収入源―雇用保険（失業等給付）	
FQ39_K	3219	w7問39-11_世帯の収入源―生活保護	
FQ39_L	3220	w7問39-12_世帯の収入源―児童扶養手当	
FQ39_M	3221	w7問39-13_世帯の収入源―その他	
FQ40	3222	w7問40_世帯で所有している資産の総額	
FQ41	3223	w7問41_現在の住居の形態	
FQ41A	3224	w7問41付問-1_持家の所有者―本人	
FQ41B	3225	w7問41付問-2_持家の所有者―配偶者	
FQ41C	3226	w7問41付問-3_持家の所有者―父または母	
FQ41D	3227	w7問41付問-4_持家の所有者―配偶者の父または母	
FQ41E	3228	w7問41付問-5_持家の所有者―その他	
FQ42	3229	w7問42_住居費・ローンを自分で支払っているか	
FQ42S	3230	w7問42_住居費・ローンの月当たり支払額（千円）	
FQ43	3231	w7問43_資産の相続・贈与の有無	
FQ43S	3232	w7問43付問_相続・贈与された財産の合計金額	
FQ44	3233	w7問44_婚姻状態	
FQ45_1	3234	w7問45(1)_配偶者職・働き方	
FQ45_2	3235	w7問45(2)_配偶者職・職業―大分類(プリコード)	
fq45_2c	3236	w7問45(2)_配偶者職・職業―小分類（07版）	
fq45_2l	3237	w7問45(2)_配偶者職・職業―大分類（アフターコード）	
FQ45_3	3238	w7問45(3)_配偶者職・役職	
FQ45_4A	3239	w7問45(4)A_配偶者職・従事時間（1日あたり）	
FQ45_4M	3240	w7問45(4)B_配偶者職・従事日数（月あたり）	
FQ45_4X	3241	w7問45(4)C_配偶者職・家に帰ってくる時間	
FQ45_4Y	3242	w7問45(4)C_配偶者職・家に帰ってくる時間―時	
FQ45_4Z	3243	w7問45(4)C_配偶者職・家に帰ってくる時間―分	
FQ45_5	3244	w7問45(5)_配偶者職・企業規模	
FQ46A	3245	w7問46A_頻度―配偶者が食事の用意	
FQ46B	3246	w7問46B_頻度―配偶者が洗濯	
FQ46C	3247	w7問46C_頻度―配偶者が家の掃除	
FQ46D	3248	w7問46D_頻度―配偶者が日用品・食料品の買い物	
FQ46E	3249	w7問46E_頻度―夫婦で一緒に食事をする	
FQ46F	3250	w7問46F_頻度―夫婦で話をする	
FQ47	3251	w7問47_婚前同棲期間の有無	
FQ47Y	3252	w7問47_婚前同棲期間（年）	
FQ47M	3253	w7問47_婚前同棲期間（月）	
FQ48	3254	w7問48_婚姻届出の有無	
FQ49A	3255	w7問49(1)_配偶者の生まれ―元号	
FQ49Y	3256	w7問49(1)_配偶者の生まれ―年	
FQ49M	3257	w7問49(1)_配偶者の生まれ―月	
FQ50	3258	w7問50(2)_配偶者の最後に通ったまたは通学中の学校	
FQ51_1AA	3259	w7問51(1)_配偶者との交際開始時―元号	
FQ51_1AY	3260	w7問51(1)_配偶者との交際開始時―年	
FQ51_1AM	3261	w7問51(1)_配偶者との交際開始時―月	
FQ51_1BA	3262	w7問51(1)_結婚時―元号	
FQ51_1BY	3263	w7問51(1)_結婚時―年	
FQ51_1BM	3264	w7問51(1)_結婚時―月	
FQ51_2A	3265	w7問51(2)-1_配偶者と知り合ったきっかけ―親・きょうだいの紹介で	
FQ51_2B	3266	w7問51(2)-2_配偶者と知り合ったきっかけ―親・きょうだい以外の親族の紹介で	
FQ51_2C	3267	w7問51(2)-3_配偶者と知り合ったきっかけ―友人・知人・幼なじみの紹介で	
FQ51_2D	3268	w7問51(2)-4_配偶者と知り合ったきっかけ―職場の同僚・上司の紹介で	
FQ51_2E	3269	w7問51(2)-5_配偶者と知り合ったきっかけ―職場で	
FQ51_2F	3270	w7問51(2)-6_配偶者と知り合ったきっかけ―学校での授業・部活・サークル活動で	
FQ51_2G	3271	w7問51(2)-7_配偶者と知り合ったきっかけ―アルバイト先で	
FQ51_2H	3272	w7問51(2)-8_配偶者と知り合ったきっかけ―趣味・習い事で	
FQ51_2I	3273	w7問51(2)-9_配偶者と知り合ったきっかけ―合コンで	
FQ51_2J	3274	w7問51(2)-10_配偶者と知り合ったきっかけ―お見合いで	
FQ51_2K	3275	w7問51(2)-11_配偶者と知り合ったきっかけ―お見合いパーティーで	
FQ51_2L	3276	w7問51(2)-12_配偶者と知り合ったきっかけ―インターネット・携帯を通して	
FQ51_2M	3277	w7問51(2)-13_配偶者と知り合ったきっかけ―街中や旅先で	
FQ51_2N	3278	w7問51(2)-14_配偶者と知り合ったきっかけ―結婚相談所や結婚仲介サービスで	
FQ51_2O	3279	w7問51(2)-15_配偶者と知り合ったきっかけ―その他	
FQ52	3280	w7問52_結婚についてどのように考えているか	
FQ53A	3281	w7問53A_結婚相手に重視する点―性格・人柄	
FQ53B	3282	w7問53B_結婚相手に重視する点―容姿・外見	
FQ53C	3283	w7問53C_結婚相手に重視する点―学歴	
FQ53D	3284	w7問53D_結婚相手に重視する点―年収	
FQ53E	3285	w7問53E_結婚相手に重視する点―年齢	
FQ53DA	3286	w7問53D_結婚相手に重視する点―年収（下限）	
FQ53DB	3287	w7問53D_結婚相手に重視する点―年収（上限）	
FQ53EA	3288	w7問53E_結婚相手に重視する点―年齢（下限）	
FQ53EB	3289	w7問53E_結婚相手に重視する点―年齢（上限）	
FQ54_1	3290	w7問54(1)_よく話をする異性の数	
FQ54_2	3291	w7問54(2)_交際してみたい異性と出会うきっかけ	
FQ54_3A	3292	w7問54(3)-1_この1年間に交際してみたい異性と出会うためにやったこと―親・きょうだいに紹介を依頼	
FQ54_3B	3293	w7問54(3)-2_この1年間に交際してみたい異性と出会うためにやったこと―親・きょうだい以外の親族に紹介を依頼	
FQ54_3C	3294	w7問54(3)-3_この1年間に交際してみたい異性と出会うためにやったこと―友人・知人・幼なじみに紹介を依頼	
FQ54_3D	3295	w7問54(3)-4_この1年間に交際してみたい異性と出会うためにやったこと―職場・アルバイト先の同僚・上司に紹介を依頼	
FQ54_3E	3296	w7問54(3)-5_この1年間に交際してみたい異性と出会うためにやったこと―学校の授業・部活・サークル活動などに参加	
FQ54_3F	3297	w7問54(3)-6_この1年間に交際してみたい異性と出会うためにやったこと―趣味・習い事に参加	
FQ54_3G	3298	w7問54(3)-7_この1年間に交際してみたい異性と出会うためにやったこと―合コンに参加	
FQ54_3H	3299	w7問54(3)-8_この1年間に交際してみたい異性と出会うためにやったこと―お見合いに参加	
FQ54_3I	3300	w7問54(3)-9_この1年間に交際してみたい異性と出会うためにやったこと―お見合いパーティーに参加	
FQ54_3J	3301	w7問54(3)-10_この1年間に交際してみたい異性と出会うためにやったこと―インターネット・携帯を通してさがす	
FQ54_3K	3302	w7問54(3)-11_この1年間に交際してみたい異性と出会うためにやったこと―街中や旅先で声をかける	
FQ54_3L	3303	w7問54(3)-12_この1年間に交際してみたい異性と出会うためにやったこと―結婚相談所や結婚仲介サービスに登録	
FQ54_3M	3304	w7問54(3)-13_この1年間に交際してみたい異性と出会うためにやったこと―その他	
FQ54_3N	3305	w7問54(3)-14_この1年間に交際してみたい異性と出会うためにやったこと―特にない	
FQ55	3306	w7問55_現在交際している人はいるか	
FQ56_1Y	3307	w7問56(1)_交際期間―年	
FQ56_1M	3308	w7問56(1)_交際期間―月	
FQ56_2A	3309	w7問56(2)-1_婚約者・交際相手と知り合ったきっかけ―親・きょうだいの紹介で	
FQ56_2B	3310	w7問56(2)-2_婚約者・交際相手と知り合ったきっかけ―親・きょうだい以外の親族の紹介で	
FQ56_2C	3311	w7問56(2)-3_婚約者・交際相手と知り合ったきっかけ―友人・知人・幼なじみの紹介で	
FQ56_2D	3312	w7問56(2)-4_婚約者・交際相手と知り合ったきっかけ―職場の同僚・上司の紹介で	
FQ56_2E	3313	w7問56(2)-5_婚約者・交際相手と知り合ったきっかけ―職場で	
FQ56_2F	3314	w7問56(2)-6_婚約者・交際相手と知り合ったきっかけ―学校での授業・部活・サークル活動で	
FQ56_2G	3315	w7問56(2)-7_婚約者・交際相手と知り合ったきっかけ―アルバイト先で	
FQ56_2H	3316	w7問56(2)-8_婚約者・交際相手と知り合ったきっかけ―趣味・習い事で	
FQ56_2I	3317	w7問56(2)-9_婚約者・交際相手と知り合ったきっかけ―合コンで	
FQ56_2J	3318	w7問56(2)-10_婚約者・交際相手と知り合ったきっかけ―お見合いで	
FQ56_2K	3319	w7問56(2)-11_婚約者・交際相手と知り合ったきっかけ―お見合いパーティーで	
FQ56_2L	3320	w7問56(2)-12_婚約者・交際相手と知り合ったきっかけ―インターネット・携帯を通して	
FQ56_2M	3321	w7問56(2)-13_婚約者・交際相手と知り合ったきっかけ―街中や旅先で	
FQ56_2N	3322	w7問56(2)-14_婚約者・交際相手と知り合ったきっかけ―結婚相談所や結婚仲介サービスで	
FQ56_2O	3323	w7問56(2)-15_婚約者・交際相手と知り合ったきっかけ―その他	
FQ56_3	3324	w7問56(3)_婚約者・交際相手最終学歴	
FQ57_01A	3325	w7問57-1_現在独身でいる理由―結婚するにはまだ若すぎるから	
FQ57_02B	3326	w7問57-2_現在独身でいる理由―結婚するには年をとりすぎているから	
FQ57_03C	3327	w7問57-3_現在独身でいる理由―結婚する必要性をまだかんじないから	
FQ57_04D	3328	w7問57-4_現在独身でいる理由―今は、仕事（または学業）にうちこみたいから	
FQ57_05E	3329	w7問57-5_現在独身でいる理由―今は、趣味や娯楽を楽しみたいから	
FQ57_06F	3330	w7問57-6_現在独身でいる理由―適当な相手にまだめぐり会わないから	
FQ57_07G	3331	w7問57-7_現在独身でいる理由―独身の自由さや気楽さを失いたくないから	
FQ57_08H	3332	w7問57-8_現在独身でいる理由―家の居心地がいいから	
FQ57_09I	3333	w7問57-9_現在独身でいる理由―異性とつきあう時間がないから	
FQ57_10J	3334	w7問57-10_現在独身でいる理由―異性とうまくつきあえないから	
FQ57_11K	3335	w7問57-11_現在独身でいる理由―結婚後の経済状況に不安があるから	
FQ57_12L	3336	w7問57-12_現在独身でいる理由―現在の交際をもっと深めたいから	
FQ57_13M	3337	w7問57-13_現在独身でいる理由―現在の交際相手との結婚を決めるタイミング、きっかけがないから	
FQ57_14N	3338	w7問57-14_現在独身でいる理由―交際相手が結婚を望んでいないから	
FQ57_15O	3339	w7問57-15_現在独身でいる理由―結婚資金が足りないから	
FQ57_16P	3340	w7問57-16_現在独身でいる理由―親や周囲が結婚に同意しないから	
FQ57_17Q	3341	w7問57-17_現在独身でいる理由―結婚後の生活全般に不安があるから	
FQ57_18R	3342	w7問57-18_現在独身でいる理由―その他	
FQ57_19S	3343	w7問57-19_現在独身でいる理由―現在の交際相手ともうすぐ結婚する予定	
FQ58_A	3344	w7問58-1_10年後の働き方―正社員・正職員として働いていたい	
FQ58_B	3345	w7問58-2_10年後の働き方―自分で事業をおこしていたい	
FQ58_C	3346	w7問58-3_10年後の働き方―親の家業を継いでいたい	
FQ58_D	3347	w7問58-4_10年後の働き方―独立して一人で仕事をしていたい	
FQ58_E	3348	w7問58-5_10年後の働き方―アルバイトやパートで働いていたい	
FQ58_F	3349	w7問58-6_10年後の働き方―専業主婦・主夫でいたい	
FQ58_G	3350	w7問58-7_10年後の働き方―働かないでいたい	
FQ58_H	3351	w7問58-8_10年後の働き方―その他	
FQ58_I	3352	w7問58-9_10年後の働き方―わからない	
fq58_j	3353	w7問58-10_10年後の働き方―現在の仕事・働き方を続けたい	
fq58_k	3354	w7問58-11_10年後の働き方―現在の事業を大きくしたい	
fq58_l	3355	w7問58-12_10年後の働き方―夫の仕事を手伝いたい・夫婦で仕事がしたい	
fq58_m	3356	w7問58-13_10年後の働き方―好きなこと・やりたいことを仕事にしたい	
fq58_n	3357	w7問58-14_10年後の働き方―雇用形態にこだわりなく働いていたい	
fq58_o	3358	w7問58-15_10年後の働き方―仕事を持った主婦・主夫でいたい(雇用形態は不明)	
FQ59	3359	w7問59_2030年における原発の割合	
FQ60	3360	w7問60_傘を持っていく降水確率	
FQ61	3361	w7問61_常に折りたたみ傘を持って出かけるか	
GQSURVEY	3362	w8 回答	
GQBLOCK	3363	w8 対象者居住地・地域	
GQSIZE	3364	w8 対象者居住地・都市規模	
GQ02	3365	w8問2_就業状況	
GQ02_1	3366	w8問2付問1_通学か家事か	
GQ02_2	3367	w8問2付問2_収入になる仕事をしたいか	
GQ03_1	3368	w8問3(1)_現職・働き方	
GQ03_2	3369	w8問3(2)_現職・職業―大分類(プリコード)	
gq03_2c	3370	w8問3(2)_現職・職業_小分類（07版）	
gq03_2l	3371	w8問3(2)_現職・職業_大分類（アフターコード）	
GQ03_3	3372	w8問3(3)_現職・役職	
GQ03_41	3373	w8問3(4)A_現職・従事時間（1日あたり）	88, 99
GQ03_4M	3374	w8問3(4)B_現職・従事日数（月あたり）	88, 99
GQ03_5A	3375	w8問3(5)-1_現職・収入の形態―時給	
GQ03_5B	3376	w8問3(5)-2_現職・収入の形態―日給	
GQ03_5C	3377	w8問3(5)-3_現職・収入の形態―週給	
GQ03_5D	3378	w8問3(5)-4_現職・収入の形態―月給	
GQ03_5E	3379	w8問3(5)-5_現職・収入の形態―年俸	
GQ03_5F	3380	w8問3(5)-6_現職・収入の形態―その他	
GQ03_5AS	3381	w8問3(5)-1_現職・収入の金額―時給	888888, 999999
GQ03_5BS	3382	w8問3(5)-2_現職・収入の金額―日給	8888888, 9999999
GQ03_5CS	3383	w8問3(5)-3_現職・収入の金額―週給	88888888, 99999999
GQ03_5DS	3384	w8問3(5)-4_現職・収入の金額―月給	888888888, 999999999
GQ03_5ES	3385	w8問3(5)-5_現職・収入の金額―年俸	8888888888, 9999999999
gq03_6c	3386	w8問3(6)_現職・産業（SSM産業コード）	
GQ03_7	3387	w8問3(7)_現職・企業規模	
GQ03_8	3388	w8問3(8)_通勤時間	
