
変数情報			
変数	位置	ラベル	欠損値
FQ52	1609	w7問52_結婚についてどのように考えているか	
FQ53A	1610	w7問53A_結婚相手に重視する点―性格・人柄	
FQ53B	1611	w7問53B_結婚相手に重視する点―容姿・外見	
FQ53C	1612	w7問53C_結婚相手に重視する点―学歴	
FQ53D	1613	w7問53D_結婚相手に重視する点―年収	
FQ53E	1614	w7問53E_結婚相手に重視する点―年齢	
FQ53DA	1615	w7問53D_結婚相手に重視する点―年収（下限）	
FQ53DB	1616	w7問53D_結婚相手に重視する点―年収（上限）	
FQ53EA	1617	w7問53E_結婚相手に重視する点―年齢（下限）	
FQ53EB	1618	w7問53E_結婚相手に重視する点―年齢（上限）	
FQ54_1	1619	w7問54(1)_よく話をする異性の数	
FQ54_2	1620	w7問54(2)_交際してみたい異性と出会うきっかけ	
FQ54_3A	1621	w7問54(3)-1_この1年間に交際してみたい異性と出会うためにやったこと―親・きょうだいに紹介を依頼	
FQ54_3B	1622	w7問54(3)-2_この1年間に交際してみたい異性と出会うためにやったこと―親・きょうだい以外の親族に紹介を依頼	
FQ54_3C	1623	w7問54(3)-3_この1年間に交際してみたい異性と出会うためにやったこと―友人・知人・幼なじみに紹介を依頼	
FQ54_3D	1624	w7問54(3)-4_この1年間に交際してみたい異性と出会うためにやったこと―職場・アルバイト先の同僚・上司に紹介を依頼	
FQ54_3E	1625	w7問54(3)-5_この1年間に交際してみたい異性と出会うためにやったこと―学校の授業・部活・サークル活動などに参加	
FQ54_3F	1626	w7問54(3)-6_この1年間に交際してみたい異性と出会うためにやったこと―趣味・習い事に参加	
FQ54_3G	1627	w7問54(3)-7_この1年間に交際してみたい異性と出会うためにやったこと―合コンに参加	
FQ54_3H	1628	w7問54(3)-8_この1年間に交際してみたい異性と出会うためにやったこと―お見合いに参加	
FQ54_3I	1629	w7問54(3)-9_この1年間に交際してみたい異性と出会うためにやったこと―お見合いパーティーに参加	
FQ54_3J	1630	w7問54(3)-10_この1年間に交際してみたい異性と出会うためにやったこと―インターネット・携帯を通してさがす	
FQ54_3K	1631	w7問54(3)-11_この1年間に交際してみたい異性と出会うためにやったこと―街中や旅先で声をかける	
FQ54_3L	1632	w7問54(3)-12_この1年間に交際してみたい異性と出会うためにやったこと―結婚相談所や結婚仲介サービスに登録	
FQ54_3M	1633	w7問54(3)-13_この1年間に交際してみたい異性と出会うためにやったこと―その他	
FQ54_3N	1634	w7問54(3)-14_この1年間に交際してみたい異性と出会うためにやったこと―特にない	
FQ55	1635	w7問55_現在交際している人はいるか	
FQ56_1Y	1636	w7問56(1)_交際期間―年	
FQ56_1M	1637	w7問56(1)_交際期間―月	
FQ56_2A	1638	w7問56(2)-1_婚約者・交際相手と知り合ったきっかけ―親・きょうだいの紹介で	
FQ56_2B	1639	w7問56(2)-2_婚約者・交際相手と知り合ったきっかけ―親・きょうだい以外の親族の紹介で	
FQ56_2C	1640	w7問56(2)-3_婚約者・交際相手と知り合ったきっかけ―友人・知人・幼なじみの紹介で	
FQ56_2D	1641	w7問56(2)-4_婚約者・交際相手と知り合ったきっかけ―職場の同僚・上司の紹介で	
FQ56_2E	1642	w7問56(2)-5_婚約者・交際相手と知り合ったきっかけ―職場で	
FQ56_2F	1643	w7問56(2)-6_婚約者・交際相手と知り合ったきっかけ―学校での授業・部活・サークル活動で	
FQ56_2G	1644	w7問56(2)-7_婚約者・交際相手と知り合ったきっかけ―アルバイト先で	
FQ56_2H	1645	w7問56(2)-8_婚約者・交際相手と知り合ったきっかけ―趣味・習い事で	
FQ56_2I	1646	w7問56(2)-9_婚約者・交際相手と知り合ったきっかけ―合コンで	
FQ56_2J	1647	w7問56(2)-10_婚約者・交際相手と知り合ったきっかけ―お見合いで	
FQ56_2K	1648	w7問56(2)-11_婚約者・交際相手と知り合ったきっかけ―お見合いパーティーで	
FQ56_2L	1649	w7問56(2)-12_婚約者・交際相手と知り合ったきっかけ―インターネット・携帯を通して	
FQ56_2M	1650	w7問56(2)-13_婚約者・交際相手と知り合ったきっかけ―街中や旅先で	
FQ56_2N	1651	w7問56(2)-14_婚約者・交際相手と知り合ったきっかけ―結婚相談所や結婚仲介サービスで	
FQ56_2O	1652	w7問56(2)-15_婚約者・交際相手と知り合ったきっかけ―その他	
FQ56_3	1653	w7問56(3)_婚約者・交際相手最終学歴	
FQ57_01A	1654	w7問57-1_現在独身でいる理由―結婚するにはまだ若すぎるから	
FQ57_02B	1655	w7問57-2_現在独身でいる理由―結婚するには年をとりすぎているから	
FQ57_03C	1656	w7問57-3_現在独身でいる理由―結婚する必要性をまだかんじないから	
FQ57_04D	1657	w7問57-4_現在独身でいる理由―今は、仕事（または学業）にうちこみたいから	
FQ57_05E	1658	w7問57-5_現在独身でいる理由―今は、趣味や娯楽を楽しみたいから	
FQ57_06F	1659	w7問57-6_現在独身でいる理由―適当な相手にまだめぐり会わないから	
FQ57_07G	1660	w7問57-7_現在独身でいる理由―独身の自由さや気楽さを失いたくないから	
FQ57_08H	1661	w7問57-8_現在独身でいる理由―家の居心地がいいから	
FQ57_09I	1662	w7問57-9_現在独身でいる理由―異性とつきあう時間がないから	
FQ57_10J	1663	w7問57-10_現在独身でいる理由―異性とうまくつきあえないから	
FQ57_11K	1664	w7問57-11_現在独身でいる理由―結婚後の経済状況に不安があるから	
FQ57_12L	1665	w7問57-12_現在独身でいる理由―現在の交際をもっと深めたいから	
FQ57_13M	1666	w7問57-13_現在独身でいる理由―現在の交際相手との結婚を決めるタイミング、きっかけがないから	
FQ57_14N	1667	w7問57-14_現在独身でいる理由―交際相手が結婚を望んでいないから	
FQ57_15O	1668	w7問57-15_現在独身でいる理由―結婚資金が足りないから	
FQ57_16P	1669	w7問57-16_現在独身でいる理由―親や周囲が結婚に同意しないから	
FQ57_17Q	1670	w7問57-17_現在独身でいる理由―結婚後の生活全般に不安があるから	
FQ57_18R	1671	w7問57-18_現在独身でいる理由―その他	
FQ57_19S	1672	w7問57-19_現在独身でいる理由―現在の交際相手ともうすぐ結婚する予定	
FQ58_A	1673	w7問58-1_10年後の働き方―正社員・正職員として働いていたい	
FQ58_B	1674	w7問58-2_10年後の働き方―自分で事業をおこしていたい	
FQ58_C	1675	w7問58-3_10年後の働き方―親の家業を継いでいたい	
FQ58_D	1676	w7問58-4_10年後の働き方―独立して一人で仕事をしていたい	
FQ58_E	1677	w7問58-5_10年後の働き方―アルバイトやパートで働いていたい	
FQ58_F	1678	w7問58-6_10年後の働き方―専業主婦・主夫でいたい	
FQ58_G	1679	w7問58-7_10年後の働き方―働かないでいたい	
FQ58_H	1680	w7問58-8_10年後の働き方―その他	
FQ58_I	1681	w7問58-9_10年後の働き方―わからない	
fq58_j	1682	w7問58-10_10年後の働き方―現在の仕事・働き方を続けたい	
fq58_k	1683	w7問58-11_10年後の働き方―現在の事業を大きくしたい	
fq58_l	1684	w7問58-12_10年後の働き方―夫の仕事を手伝いたい・夫婦で仕事がしたい	
fq58_m	1685	w7問58-13_10年後の働き方―好きなこと・やりたいことを仕事にしたい	
fq58_n	1686	w7問58-14_10年後の働き方―雇用形態にこだわりなく働いていたい	
fq58_o	1687	w7問58-15_10年後の働き方―仕事を持った主婦・主夫でいたい(雇用形態は不明)	
FQ59	1688	w7問59_2030年における原発の割合	
FQ60	1689	w7問60_傘を持っていく降水確率	
FQ61	1690	w7問61_常に折りたたみ傘を持って出かけるか	
GQSURVEY	1691	w8 回答	
GQBLOCK	1692	w8 対象者居住地・地域	
GQSIZE	1693	w8 対象者居住地・都市規模	
GQ02	1694	w8問2_就業状況	
GQ02_1	1695	w8問2付問1_通学か家事か	
GQ02_2	1696	w8問2付問2_収入になる仕事をしたいか	
GQ03_1	1697	w8問3(1)_現職・働き方	
GQ03_2	1698	w8問3(2)_現職・職業―大分類(プリコード)	
gq03_2c	1699	w8問3(2)_現職・職業_小分類（07版）	
gq03_2l	1700	w8問3(2)_現職・職業_大分類（アフターコード）	
GQ03_3	1701	w8問3(3)_現職・役職	
GQ03_41	1702	w8問3(4)A_現職・従事時間（1日あたり）	88, 99
GQ03_4M	1703	w8問3(4)B_現職・従事日数（月あたり）	88, 99
GQ03_5A	1704	w8問3(5)-1_現職・収入の形態―時給	
GQ03_5B	1705	w8問3(5)-2_現職・収入の形態―日給	
GQ03_5C	1706	w8問3(5)-3_現職・収入の形態―週給	
GQ03_5D	1707	w8問3(5)-4_現職・収入の形態―月給	
GQ03_5E	1708	w8問3(5)-5_現職・収入の形態―年俸	
GQ03_5F	1709	w8問3(5)-6_現職・収入の形態―その他	
GQ03_5AS	1710	w8問3(5)-1_現職・収入の金額―時給	888888, 999999
GQ03_5BS	1711	w8問3(5)-2_現職・収入の金額―日給	8888888, 9999999
GQ03_5CS	1712	w8問3(5)-3_現職・収入の金額―週給	88888888, 99999999
GQ03_5DS	1713	w8問3(5)-4_現職・収入の金額―月給	888888888, 999999999
GQ03_5ES	1714	w8問3(5)-5_現職・収入の金額―年俸	8888888888, 9999999999
gq03_6c	1715	w8問3(6)_現職・産業（SSM産業コード）	
GQ03_7	1716	w8問3(7)_現職・企業規模	
GQ03_8	1717	w8問3(8)_通勤時間	
GQ03_9A	1718	w8問3(9)-1_労働形態―始業・就業時間が一定	
GQ03_9B	1719	w8問3(9)-2_労働形態―始業・就業時間が日によって違う	
GQ03_9C	1720	w8問3(9)-3_労働形態―裁量労働	
GQ03_9D	1721	w8問3(9)-4_労働形態―夜勤・当直・宿直	
GQ03_9E	1722	w8問3(9)-5_労働形態―突然の残業	
GQ03_9F	1723	w8問3(9)-6_労働形態―突然の休日出勤	
GQ03_10	1724	w8問3(10)_週あたりの所定労働時間	
GQ03_11A	1725	w8問3(11)_土曜日の仕事の頻度	
GQ03_11B	1726	w8問3(11)_日曜日の仕事の頻度	
GQ03_12	1727	w8問3(12)_労働時間希望	
GQ03_13	1728	w8問3(13)_労働組合が組織されているか	
GQ03_14	1729	w8問3(14)_労働組合に加入しているか	
GQ03_15	1730	w8問3(15)_現在の会社で当面仕事を続けるか	
GQ03_16	1731	w8問3(16)_雇用契約期間	
GQ03_16S	1732	w8問3(16)付問_雇用契約の更新	
GQ03_17	1733	w8問3(17)_勤続年数	
GQ04_1A	1734	w8問4(1)A_自分の仕事のペースを自分で決められる	
GQ04_1B	1735	w8問4(1)B_職場の仕事のやり方を自分で決められる	
GQ04_1C	1736	w8問4(1)C_部下の仕事のやり方を自分が決めている	
GQ04_1D	1737	w8問4(1)D_教育訓練を受ける機会がある	
GQ04_1E	1738	w8問4(1)E_職業能力を高める機会がある	
GQ04_1F	1739	w8問4(1)F_自分の生活の必要にあわせて仕事を調整しやすい	
GQ04_1G	1740	w8問4(1)G_今後1年間に失業（倒産）をする可能性がある	
GQ04_1H	1741	w8問4(1)H_仕事の内容が面白い	
GQ04_1I	1742	w8問4(1)I_正規の社員･職員としての報酬と権利が与えられている	
GQ04_2	1743	w8問4(2)_仕事仲間からのアドバイス	
GQ04_3A	1744	w8問4(3)-1_ほぼ毎日残業	
GQ04_3B	1745	w8問4(3)-2_社員数が恒常的に不足	
GQ04_3C	1746	w8問4(3)-3_いつも締め切りに追われている	
GQ04_3D	1747	w8問4(3)-4_互いに助け合う雰囲気	
GQ04_3E	1748	w8問4(3)-5_一人ひとりが行う仕事が多い	
GQ04_3F	1749	w8問4(3)-6_連携しながら行う仕事が多い	
GQ04_3G	1750	w8問4(3)-7_先輩が後輩を指導する雰囲気	
GQ04_3H	1751	w8問4(3)-8_社員の希望で移動できる仕組み	
GQ04_3I	1752	w8問4(3)-9_若手社員の相談相手を決めている	
GQ04_3J	1753	w8問4(3)-10_将来の仕事について相談できる機会	
GQ04_3K	1754	w8問4(3)-11_正社員でない人が多い	
GQ04_3L	1755	w8問4(3)-12_女性が多い	
GQ04_3M	1756	w8問4(3)-13_男女の別なく活躍できる	
GQ04_3N	1757	w8問4(3)-14_いずれもあてはまらない	
GQ04_4	1758	w8問4(4)_仕事の習熟期間	
GQ05	1759	w8問5_この１年の勤め先の変化	
GQ05_2A	1760	w8問5付問2-1_勤め先変化の理由―会社の倒産・廃業・人員整理	
GQ05_2B	1761	w8問5付問2-2_勤め先変化の理由―契約期間の終了	
GQ05_2C	1762	w8問5付問2-3_勤め先変化の理由―家庭の事情（結婚、育児、介護など）	
GQ05_2D	1763	w8問5付問2-4_勤め先変化の理由―健康上の理由	
GQ05_2E	1764	w8問5付問2-5_勤め先変化の理由―労働時間（残業・休日出勤など）に不満	
GQ05_2F	1765	w8問5付問2-6_勤め先変化の理由―給与・賃金に不満	
GQ05_2G	1766	w8問5付問2-7_勤め先変化の理由―仕事がきつい・ストレスが大きいため	
GQ05_2H	1767	w8問5付問2-8_勤め先変化の理由―職場の人間関係に対する不満	
GQ05_2I	1768	w8問5付問2-9_勤め先変化の理由―昇進やキャリアに将来性がないから	
GQ05_2J	1769	w8問5付問2-10_勤め先変化の理由―家業を継ぐため	
GQ05_2K	1770	w8問5付問2-11_勤め先変化の理由―よい仕事がみつかったから	
GQ05_2L	1771	w8問5付問2-12_勤め先変化の理由―その他	
GQ05_2M	1772	w8問5付問2-13_勤め先変化の理由―勤め先をやめたり変えたりしていない	
GQ06	1773	w8問6_この1年間で職業訓練･自己啓発したか	
GQ06_1A	1774	w8問6付問1-1_職業訓練―勤め先での研修	
GQ06_1B	1775	w8問6付問1-2_職業訓練―学校(大学･専門学校等)の講座の受講	
GQ06_1C	1776	w8問6付問1-3_職業訓練―講習会･セミナー･研修会への参加	
GQ06_1D	1777	w8問6付問1-4_職業訓練―通信教育の受講	
GQ06_1E	1778	w8問6付問1-5_職業訓練―その他	
GQ06_1F	1779	w8問6付問1-6_職業訓練―勤め先の指示で行ったものはない･勤めていない	
GQ06_2A	1780	w8問6付問2-1_自己啓発―学校(大学･専門学校等)の講座の受講	
GQ06_2B	1781	w8問6付問2-2_自己啓発―講習会･セミナー･研修会への参加	
GQ06_2C	1782	w8問6付問2-3_自己啓発―通信教育の受講	
GQ06_2D	1783	w8問6付問2-4_自己啓発―自学･自習	
GQ06_2E	1784	w8問6付問2-5_自己啓発―その他	
GQ06_2F	1785	w8問6付問2-6_自己啓発―自発的に行ったものはない	
GQ07	1786	w8問7_専門学校以上への通学（この1年間）	
GQ07A	1787	w8問7付問_この1年間に通った学校＿設置者	
GQ07C	1788	w8問7付問_この1年間に通った学校＿学部学科	
GQ07D	1789	w8問7付問_この1年間に通った学校＿課程	
GQ07E	1790	w8問7付問_この1年間に通った学校＿入学年	
GQ07F	1791	w8問7付問_この1年間に通った学校＿卒業年	
GQ07G	1792	w8問7付問_この1年間に通った学校＿卒業中退	
GQ08A	1793	w8問8A_起床する	
GQ08AX	1794	w8問8A_起床する時間（午前午後）	8, 9
GQ08AY	1795	w8問8A_起床する時間（時）	88, 99
GQ08AZ	1796	w8問8A_起床する時間（分）	88, 99
gq08a24	1797	w8問8A_起床する（24時制）	88, 99
GQ08B	1798	w8問8B_家を出る	
GQ08BX	1799	w8問8B_家を出る時間（午前午後）	8, 9
GQ08BY	1800	w8問8B_家を出る時間（時）	88, 99
GQ08BZ	1801	w8問8B_家を出る時間（分）	88, 99
gq08b24	1802	w8問8B_家を出る（24時制）	88, 99
gq08b48	1803	w8問8B_家を出る（48時制）	88, 99
GQ08C	1804	w8問8C_家に帰ってくる	
GQ08CX	1805	w8問8C_家に帰ってくる時間（午前午後）	8, 9
GQ08CY	1806	w8問8C_家に帰ってくる時間（時）	88, 99
GQ08CZ	1807	w8問8C_家に帰ってくる時間（分）	88, 99
gq08c24	1808	w8問8C_家に帰ってくる（24時制）	88, 99
gq08c48	1809	w8問8C_家に帰ってくる（48時制）	88, 99
GQ08D	1810	w8問8D_就寝する	
GQ08DX	1811	w8問8D_就寝する時間（午前午後）	8, 9
GQ08DY	1812	w8問8D_就寝する時間（時）	88, 99
GQ08DZ	1813	w8問8D_就寝する時間（分）	88, 99
gq08d24	1814	w8問8D_就寝する（24時制）	88, 99
gq08d48	1815	w8問8D_就寝する（48時制）	88, 99
GQ09ADH	1816	w8問9A_平日の家事（時間）	
GQ09ADM	1817	w8問9A_平日の家事（分）	
GQ09AHH	1818	w8問9A_休日の家事（時間）	
GQ09AHM	1819	w8問9A_休日の家事（分）	
GQ09BDH	1820	w8問9B_平日の育児（時間）	
GQ09BDM	1821	w8問9B_平日の育児（分）	
GQ09BHH	1822	w8問9B_休日の育児（時間）	
GQ09BHM	1823	w8問9B_休日の育児（分）	
GQ09CDH	1824	w8問9C_平日の学習・勉強（時間）	
GQ09CDM	1825	w8問9C_平日の学習・勉強（分）	
GQ09CHH	1826	w8問9C_休日の学習・勉強（時間）	
GQ09CHM	1827	w8問9C_休日の学習・勉強（分）	
GQ09DDH	1828	w8問9D_平日の趣味・娯楽（時間）	
GQ09DDM	1829	w8問9D_平日の趣味・娯楽（分）	
GQ09DHH	1830	w8問9D_休日の趣味・娯楽（時間）	
GQ09DHM	1831	w8問9D_休日の趣味・娯楽（分）	
GQ10A	1832	w8問10A_この1年間の頻度―美術館や博物館に行く	
GQ10B	1833	w8問10B_この1年間の頻度―カラオケをする	
GQ10C	1834	w8問10C_この1年間の頻度―パチンコをする	
GQ10D	1835	w8問10D_この1年間の頻度―図書館へ行く	
GQ10E	1836	w8問10E_この1年間の頻度―小説や歴史などの本を読む	
GQ10F	1837	w8問10F_この1年間の頻度―スポーツ新聞や女性週刊誌を読む	
GQ10G	1838	w8問10G_この1年間の頻度―ボランティア活動をする	
GQ11A	1839	w8問11A_ふだんの生活での頻度―運動	
GQ11B	1840	w8問11B_ふだんの生活での頻度―1日に3食を食べる	
GQ11C	1841	w8問11C_ふだんの生活での頻度―栄養バランスの取れた食事を取る	
GQ11D	1842	w8問11D_ふだんの生活での頻度―カップ麺やファーストフードを食べる	
GQ11E	1843	w8問11E_ふだんの生活での頻度―外食	
GQ11F	1844	w8問11F_ふだんの生活での頻度―食事の用意	
GQ11G	1845	w8問11G_ふだんの生活での頻度―洗濯	
GQ11H	1846	w8問11H_ふだんの生活での頻度―家の掃除	
GQ11I	1847	w8問11I_ふだんの生活での頻度―日用品・食料品の買い物	
GQ11J	1848	w8問11J_ふだんの生活での頻度―友人・恋人（配偶者は除く）と食事をする	
GQ11K	1849	w8問11K_ふだんの生活での頻度―友人・恋人（配偶者は除く）と話をする	
GQ11L	1850	w8問11L_ふだんの生活での頻度―インターネットを利用する（仕事以外で）	
GQ11M	1851	w8問11M_ふだんの生活での頻度―習い事	
GQ11N	1852	w8問11N_ふだんの生活での頻度―子どもと遊ぶ（子どものいる方のみ）	
GQ11O	1853	w8問11O_ふだんの生活での頻度―介護（仕事以外で）	
GQ12	1854	w8問12_子どもの有無	
GQ12S	1855	w8問12付問_子どもの人数	
GQ12_1A	1856	w8問12付問_1人目・生まれ―元号	
GQ12_1B	1857	w8問12付問_1人目・生まれ―年	
GQ12_1C	1858	w8問12付問_1人目･性別	
GQ12_1D	1859	w8問12付問_1人目･住まい	
GQ12_1E	1860	w8問12付問_1人目･在学中	
GQ12_1F	1861	w8問12付問_1人目･仕事の有無	
GQ12_1G	1862	w8問12付問_1人目･希望学校段階	
GQ12_2A	1863	w8問12付問_2人目・生まれ―元号	
GQ12_2B	1864	w8問12付問_2人目・生まれ―年	
GQ12_2C	1865	w8問12付問_2人目･性別	
GQ12_2D	1866	w8問12付問_2人目･住まい	
GQ12_2E	1867	w8問12付問_2人目･在学中	
GQ12_2F	1868	w8問12付問_2人目･仕事の有無	
GQ12_2G	1869	w8問12付問_2人目･希望学校段階	
GQ12_3A	1870	w8問12付問_3人目・生まれ―元号	
GQ12_3B	1871	w8問12付問_3人目・生まれ―年	
GQ12_3C	1872	w8問12付問_3人目･性別	
GQ12_3D	1873	w8問12付問_3人目･住まい	
GQ12_3E	1874	w8問12付問_3人目･在学中	
GQ12_3F	1875	w8問12付問_3人目･仕事の有無	
GQ12_3G	1876	w8問12付問_3人目･希望学校段階	
GQ12_4A	1877	w8問12付問_4人目・生まれ―元号	
GQ12_4B	1878	w8問12付問_4人目・生まれ―年	
GQ12_4C	1879	w8問12付問_4人目･性別	
GQ12_4D	1880	w8問12付問_4人目･住まい	
GQ12_4E	1881	w8問12付問_4人目･在学中	
GQ12_4F	1882	w8問12付問_4人目･仕事の有無	
GQ12_4G	1883	w8問12付問_4人目･希望学校段階	
GQ12_5A	1884	w8問12付問_5人目・生まれ―元号	
GQ12_5B	1885	w8問12付問_5人目・生まれ―年	
GQ12_5C	1886	w8問12付問_5人目･性別	
GQ12_5D	1887	w8問12付問_5人目･住まい	
GQ12_5E	1888	w8問12付問_5人目･在学中	
GQ12_5F	1889	w8問12付問_5人目･仕事の有無	
GQ12_5G	1890	w8問12付問_5人目･希望学校段階	
GQ12_6A	1891	w8問12付問_6人目・生まれ―元号	
GQ12_6B	1892	w8問12付問_6人目・生まれ―年	
GQ12_6C	1893	w8問12付問_6人目･性別	
GQ12_6D	1894	w8問12付問_6人目･住まい	
GQ12_6E	1895	w8問12付問_6人目･在学中	
GQ12_6F	1896	w8問12付問_6人目･仕事の有無	
GQ12_6G	1897	w8問12付問_6人目･希望学校段階	
GQ12_7A	1898	w8問12付問_7人目・生まれ―元号	
GQ12_7B	1899	w8問12付問_7人目・生まれ―年	
GQ12_7C	1900	w8問12付問_7人目･性別	
GQ12_7D	1901	w8問12付問_7人目･住まい	
GQ12_7E	1902	w8問12付問_7人目･在学中	
GQ12_7F	1903	w8問12付問_7人目･仕事の有無	
GQ12_7G	1904	w8問12付問_7人目･希望学校段階	
GQ12_8A	1905	w8問12付問_8人目・生まれ―元号	
GQ12_8B	1906	w8問12付問_8人目・生まれ―年	
GQ12_8C	1907	w8問12付問_8人目･性別	
GQ12_8D	1908	w8問12付問_8人目･住まい	
GQ12_8E	1909	w8問12付問_8人目･在学中	
GQ12_8F	1910	w8問12付問_8人目･仕事の有無	
GQ12_8G	1911	w8問12付問_8人目･希望学校段階	
GQ13_1	1912	w8問13(1)_同居している人数（本人含む）	
GQ13_2A	1913	w8問13(2)-0_一人暮らし	
GQ13_2B	1914	w8問13(2)-1_配偶者（あなたの夫または妻）	
GQ13_2C	1915	w8問13(2)-2_恋人	
GQ13_2D	1916	w8問13(2)-3_息子	
GQ13_2E	1917	w8問13(2)-4_娘	
GQ13_2F	1918	w8問13(2)-5_子どもの配偶者	
GQ13_2G	1919	w8問13(2)-6_孫	
GQ13_2H	1920	w8問13(2)-7_あなたの父親	
GQ13_2I	1921	w8問13(2)-8_あなたの母親	
GQ13_2J	1922	w8問13(2)-9_配偶者の父親	
GQ13_2K	1923	w8問13(2)-10_配偶者の母親	
GQ13_2L	1924	w8問13(2)-11_あなたの祖父	
GQ13_2M	1925	w8問13(2)-12_あなたの祖母	
GQ13_2N	1926	w8問13(2)-13_配偶者の祖父母	
GQ13_2O	1927	w8問13(2)-14_あなたの兄弟姉妹	
GQ13_2P	1928	w8問13(2)-15_配偶者の兄弟姉妹	
GQ13_2Q	1929	w8問13(2)-16_その他	
gq13_2s	1930	w8問13(2)-17_その他親戚	
gq13_2t	1931	w8問13(2)-18_親戚以外	
GQ13_3	1932	w8問13(3)_もう1人子どもが欲しいか	
GQ14_1	1933	w8問14-1_この1年間の経験―自分が離婚した	
GQ14_2	1934	w8問14-2_この1年間の経験―父が亡くなった	
GQ14_3	1935	w8問14-3_この1年間の経験―母が亡くなった	
GQ14_4	1936	この1年間の経験―自分が引っ越しをした	
GQ14_5	1937	w8問14-5_この1年間の経験―自分が産休･育休を取った	
GQ14_6	1938	w8問14-6_この1年間の経験―配偶者(あなたの夫または妻)が産休･育休を取った	
GQ14_7	1939	この1年間の経験―配偶者(あなたの夫または妻)が亡くなった	
GQ14_8	1940	w8問14-8_この1年間の経験―どれもなかった	
GQ15	1941	w8問15_自分の健康状態	
GQ16	1942	w8問16_過去1年間、病気や怪我により活動ができなかった日の有無	
GQ16S	1943	w8問16_過去1年間、病気や怪我により活動ができなかった日数	
GQ17A	1944	w8問17_過去1年間の歯科通院日数	
GQ17B	1945	w8問17_過去1年間の通院（歯科除く）日数	
GQ17C	1946	w8問17_過去1年間の入院日数	
GQ18A	1947	w8問18A_過去1ヶ月間―かなり神経質であったこと	
GQ18B	1948	w8問18B_過去1ヶ月間―どうにもならないくらい気分が落ち込んでいたこと	
GQ18C	1949	w8問18C_過去1ヶ月間―落ち着いていておだやかな気分であったこと	
GQ18D	1950	w8問18D_過去1ヶ月間―落ち込んで、憂鬱な気分であったこと	
GQ18E	1951	w8問18E_過去1ヶ月間―楽しい気分であったこと	
GQ18F	1952	w8問18F_過去1ヶ月間―健康上の理由で、家事や仕事などが制限されたこと	
GQ19A	1953	w8問19A_現在の満足度―仕事	
GQ19B	1954	w8問19B_現在の満足度―結婚生活	
GQ19C	1955	w8問19C_現在の満足度―友人関係	
GQ19D	1956	w8問19D_現在の満足度―あなたの親との関係	
GQ19E	1957	w8問19E_現在の満足度―あなたの子との関係	
GQ19F	1958	w8問19F_現在の満足度―生活全般	
GQ20A	1959	w8問20A_自分のやりたい仕事ははっきりしている	
GQ20B	1960	w8問20B_自分の職業能力を向上させたいと思う	
GQ20C	1961	w8問20C_将来よりも今の生活を楽しみたいと思う	
GQ20D	1962	w8問20D_社会でうまくやっていけるか不安だ	
GQ20E	1963	w8問20E_友だちから悩み事を打ち明けられることが多い	
GQ20F	1964	w8問20F_やりたくない仕事にはつきたくない	
GQ21	1965	w8問21_現在の暮らしむき	
GQ22	1966	w8問22_一般的に人は信用できると思うか	
GQ23	1967	w8問23_将来の自分の仕事や生活に希望があるか	
GQ24A	1968	w8問24A_日本の社会には、希望がある	
GQ24B	1969	w8問24B_日本に定住しようと思って日本に来る外国人は、もっと増えたほうがよい	
GQ24C	1970	w8問24C_日本の所得の格差は大きすぎる	
GQ24D	1971	w8問24D_日本経済を守るために、日本は外国製品の輸入を制限すべきだ	
GQ24E	1972	w8問24E_所得格差が大きいことは、日本の繁栄に必要である	
GQ24F	1973	w8問24F_日本人であることに誇りを感じる	
GQ25	1974	w8問25_自分自身の階層の位置づけ	
GQ26	1975	w8問26_10年後の自分の暮らしむき	
GQ27	1976	w8問27_理想の子ども人数	
GQ27S	1977	w8問27_理想の子ども人数（5人以上）	
GQ28_A	1978	w8問28-1_組織への所属―政治関係の団体や会	
GQ28_B	1979	w8問28-2_組織への所属―業界団体・同業者団体	
GQ28_C	1980	w8問28-3_組織への所属―ボランティアのグループ	
GQ28_D	1981	w8問28-4_組織への所属―宗教の団体や会	
GQ28_E	1982	w8問28-5_組織への所属―市民運動・消費者運動のグループ	
GQ28_F	1983	w8問28-6_組織への所属―スポーツ関係のグループやクラブ	
GQ28_G	1984	w8問28-7_組織への所属―自治会・町内会	
GQ28_H	1985	w8問28-8_組織への所属―労働組合	
GQ28_I	1986	w8問28-9_組織への所属―趣味の会	
GQ28_J	1987	w8問28-10_組織への所属―学習のためのサークル	
GQ28_K	1988	w8問28-11_組織への所属―どれにも加入していない	
GQ29A	1989	w8問29A_日本の防衛力はもっと強化するべきだ	
GQ29B	1990	w8問29B_日米安保体制は現在よりもっと強化するべきだ	
GQ29C	1991	w8問29C_収入の多い人と少ない人の所得格差を縮めるのは政府の責任だ	
GQ29D	1992	w8問29D_公共事業による地方の雇用確保は必要だ	
GQ29E	1993	w8問29E_社会保障は財政が苦しくても極力充実するべきだ	
GQ29F	1994	w8問29F_お年寄りや心身の不自由な人は別として、すべての人は社会福祉をあてにしないで生活しなければならない	
GQ30A	1995	w8問30A_子どもについての意見―できるだけ高い教育を受けさせたい	
GQ30B	1996	w8問30B_子どもについての意見―家庭教師をつけたり、塾に通わせたい	
GQ30C	1997	w8問30C_子どもについての意見―出来るだけ多くの財産を残してやりたい	
GQ31	1998	w8問31_ふだん支持している政党	
